,Player,From,To,Price_m,Year
128,Gael Kakuta,Hebei China Fortune,Rayo Vallecano,2.7,2017
130,David Soria,Sevilla,Getafe,2.7,2017
131,William Carvalho,Sporting Lisbon,Real Betis,18.0,2017
133,Clement Lenglet,Sevilla,Barcelona,36.0,2017
134,Miguel Layun,Porto,Villarreal,4.0,2017
135,Daniel Wass,Celta Vigo,Valencia,5.4,2017
137,Borja Iglesias,Celta Vigo,Espanyol,9.0,2017
138,Arthur,Gremio,FC Barcelona,27.9,2017
147,Alvaro Odriozola,Real Sociedad,Real Madrid,36.0,2017
155,Yuri Berchiche,PSG,Athletic Bilbao,20.0,2017
157,Mouctar Diakhaby,Lyon,Valencia,15.0,2017
158,Johan Mojica,Rayo Vallecano,Girona,4.5,2017
163,Andriy Lunin,Zorya Luhansk,Real Madrid,14.0,2017
164,Mauro Arambarri,Boston River,Getafe,1.94,2017
167,Okay Yokuslu,Trabzonspor,Celta Vigo,5.4,2017
170,Thomas Lemar,AS Monaco,Atletico Madrid,58.5,2017
171,Erick Cabaco,Nacional,Levante UD,1.8,2017
172,Gerard Moreno,Espanyol,Villarreal,18.0,2017
173,Karl Toko Ekambi,Angers,Villarreal,18.0,2017
177,Cristian Ganea,FC Viitorul,Athletic Bilbao,1.0,2017
178,Rodri,Villarreal,Atletico Madrid,20.0,2017
179,Geoffrey Kondogbia,Inter Milan,Valencia,25.0,2017
49,Javier Hernandez,West Ham United,Sevilla,7.0,2018
59,Nacho Monreal,Arsenal,Real Sociedad,0.25,2018
64,Yannis Salibur,Guingamp,Mallorca,2.0,2018
66,Alex Moreno,Rayo Vallecano,Real Betis,6.5,2018
68,Javi Ontiveros,Malaga,Villarreal,7.5,2018
71,Rony Lopes,Monaco,Sevilla,20.0,2018
73,Borja Iglesias,Espanyol,Real Betis,25.2,2018
76,Robert Ibañez,Getafe,Osasuna,2.0,2018
80,Kenneth Omeruo,Chelsea,Leganes,6.3,2018
83,Fernando Calero,Real Valladolid,Espanyol,7.2,2018
84,Facundo Roncaglia,Celta de Vigo,Osasuna,0.225,2018
85,Junior Firpo,Real Betis,FC Barcelona,18.0,2018
86,Faycal Fajr,Caen,Getafe,2.0,2018
91,Igor Zlatanovic,Radnik,Mallorca,1.3,2018
101,Takashi Inui,Real Betis,Eibar,2.0,2018
104,Nabil Fekir,Lyon,Real Betis,19.7,2018
108,Mario Hermoso,Espanyol,Atletico Madrid,25.0,2018
110,Yan Brice,Sevilla,Granada,0.9,2018
112,Dani Martin,Sporting Gijon,Real Betis,5.0,2018
113,Kieran Trippier,Tottenham,Atletico Madrid,22.0,2018
114,Yan Brice,Almeria,Sevilla,0.45,2018
116,Marc Cucurella,Eibar,Barcelona,4.0,2018
118,Quique,Deportivo,Eibar,3.3,2018
