,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
439,440,Marco Capuano,ITA,DF,Crotone,Serie A,25,1991,16,16,"1,407",15.6,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,2017,Cagliari,Frosinone,"900,000"
440,441,Marco Capuano,ITA,DF,Cagliari,Serie A,25,1991,9,7,690,7.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.02,0.04,0.02,0.04,2017,Cagliari,Frosinone,"900,000"
466,467,Gonzalo Castro,GER,MF,Dortmund,Bundesliga,30,1987,19,16,"1,206",13.4,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,1.6,1.6,3.4,5.0,0.12,0.26,0.37,0.12,0.37,2017,Bor. Dortmund,VfB Stuttgart,4.5
468,469,Lucas Castro,ARG,MF,Chievo,Serie A,28,1989,25,23,"1,985",22.1,3,4,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,3.4,3.4,2.2,5.6,0.15,0.10,0.26,0.15,0.26,2017,Chievo Verona,Cagliari,5.85
484,485,Nacer Chadli,BEL,MF,West Brom,Premier League,27,1989,5,2,260,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,0.1,0.1,0.1,0.2,0.06,0.04,0.09,0.06,0.09,2017,West Brom,AS Monaco,10.8
554,555,Joaquín Correa,ARG,FW,Sevilla,La Liga,22,1994,21,15,"1,193",13.3,1,1,1,0,0,5,0,0.08,0.08,0.15,0.08,0.15,1.6,1.6,1.9,3.5,0.12,0.14,0.26,0.12,0.26,2017,Sevilla,Lazio,13.5
559,560,Douglas Costa,BRA,FW,Juventus,Serie A,26,1990,31,18,"1,795",19.9,4,6,4,0,0,1,0,0.20,0.30,0.50,0.20,0.50,2.7,2.7,7.6,10.3,0.14,0.38,0.52,0.14,0.52,2017,Bayern Munich,Juventus,40
567,568,Thibaut Courtois,BEL,GK,Chelsea,Premier League,25,1992,35,35,"3,150",35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Chelsea,Real Madrid,40
600,601,Danilo,BRA,DF,Manchester City,Premier League,26,1991,23,13,"1,349",15.0,3,2,3,0,0,2,0,0.20,0.13,0.33,0.20,0.33,1.1,1.1,0.2,1.2,0.07,0.01,0.08,0.07,0.08,2017,Braga,Nice,8
633,634,Thomas Delaney,DEN,MF,Werder Bremen,Bundesliga,25,1991,32,31,"2,796",31.1,3,4,3,0,0,5,0,0.10,0.13,0.23,0.10,0.23,4.2,4.2,2.5,6.7,0.13,0.08,0.21,0.13,0.21,2017,W. Bremen,Bor. Dortmund,20
652,653,Gerard Deulofeu,ESP,FW,Watford,Premier League,23,1994,7,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.7,1.3,0.12,0.14,0.26,0.12,0.26,2017,Barcelona,Watford,13
653,654,Gerard Deulofeu,ESP,MF,Barcelona,La Liga,23,1994,10,5,503,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.1,1.1,1.3,2.4,0.20,0.23,0.43,0.20,0.43,2017,Barcelona,Watford,13
655,656,Federico Di Francesco,ITA,FW,Bologna,Serie A,23,1994,24,20,"1,591",17.7,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.5,2.5,1.6,4.1,0.14,0.09,0.23,0.14,0.23,2017,Bologna,Sassuolo,9
664,665,Mouctar Diakhaby,GUI,DF,Lyon,Ligue 1,20,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,2017,Lyon,Valencia,15
665,666,Abdou Diallo,SEN,DF,Mainz 05,Bundesliga,21,1996,27,27,"2,415",26.8,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,2.3,2.3,0.8,3.2,0.09,0.03,0.12,0.09,0.12,2017,Mainz 05,Bor. Dortmund,25.2
680,681,Lucas Digne,FRA,DF,Barcelona,La Liga,24,1993,12,8,704,7.8,0,2,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,0.5,0.5,1.5,1.9,0.06,0.19,0.25,0.06,0.25,2017,Barcelona,Everton,22
685,686,Issa Diop,FRA,DF,Toulouse,Ligue 1,20,1997,34,34,"3,060",34.0,3,0,3,0,0,8,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.4,1.7,0.04,0.01,0.05,0.04,0.05,2017,Toulouse,West Ham United,22.5
732,733,Riza Durmisi,DEN,DF,Betis,La Liga,23,1994,24,23,"2,080",23.1,2,3,2,0,0,4,0,0.09,0.13,0.22,0.09,0.22,1.4,1.4,2.6,4.0,0.06,0.11,0.17,0.06,0.17,2017,Real Betis,Lazio,5.85
747,748,Albin Ekdal,SWE,MF,Hamburger SV,Bundesliga,28,1989,19,12,"1,108",12.3,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.0,1.5,0.04,0.08,0.12,0.04,0.12,2017,Hamburger SV,Sampdoria,2
767,768,Jonny Evans,NIR,DF,West Brom,Premier League,29,1988,28,26,"2,270",25.2,2,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.4,2.3,0.08,0.02,0.09,0.08,0.09,2017,West Brom,Leicester,4
778,779,Fabinho,BRA,MF,Monaco,Ligue 1,23,1993,34,34,"3,060",34.0,7,3,3,4,4,8,0,0.21,0.09,0.29,0.09,0.18,5.4,2.4,3.8,6.2,0.16,0.11,0.27,0.07,0.18,2017,AS Monaco,Liverpool,45
783,784,Diego Falcinelli,ITA,FW,Sassuolo,Serie A,26,1991,20,15,"1,314",14.6,2,1,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,5.0,4.9,0.4,5.3,0.34,0.03,0.37,0.34,0.37,2017,Sassuolo,Bologna,9
784,785,Diego Falcinelli,ITA,FW,Fiorentina,Serie A,26,1991,12,3,440,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.9,2.5,0.32,0.18,0.50,0.32,0.50,2017,Sassuolo,Bologna,9
860,861,Gabriel,BRA,MF,Leganés,La Liga,23,1993,29,28,"2,377",26.4,5,2,4,1,1,6,1,0.19,0.08,0.27,0.15,0.23,5.5,4.8,2.3,7.0,0.21,0.09,0.29,0.18,0.27,2017,Leganes,Benfica,9
909,910,Willem Geubbels,FRA,FW,Lyon,Ligue 1,15,2001,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Olympique Lyon,AS Monaco,18
912,913,Rachid Ghezzal,ALG,FW,Monaco,Ligue 1,25,1992,26,7,"1,006",11.2,2,3,2,0,0,2,1,0.18,0.27,0.45,0.18,0.45,1.9,1.9,2.3,4.3,0.17,0.21,0.38,0.17,0.38,2017,AS Monaco,Leicester City,10.12
924,925,Daniel Ginczek,GER,FW,Stuttgart,Bundesliga,26,1991,23,17,"1,523",16.9,7,0,6,1,1,3,0,0.41,0.00,0.41,0.35,0.35,7.5,6.7,1.3,8.0,0.44,0.08,0.52,0.40,0.47,2017,VfB Stuttgart,Wolfsburg,9
933,934,Joris Gnagnon,FRA,DF,Rennes,Ligue 1,20,1997,36,32,"2,919",32.4,2,2,2,0,0,3,0,0.06,0.06,0.12,0.06,0.12,2.6,2.6,0.1,2.7,0.08,0.00,0.08,0.08,0.08,2017,Rennes,Sevilla,15
938,939,Pierluigi Gollini,ITA,GK,Atalanta,Serie A,22,1995,7,7,622,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Aston Villa,Atalanta,4
977,978,Samuel Grandsir,FRA,FW,Troyes,Ligue 1,20,1996,36,29,"2,603",28.9,3,4,3,0,0,3,0,0.10,0.14,0.24,0.10,0.24,4.0,4.0,3.6,7.6,0.14,0.12,0.26,0.14,0.26,2017,Troyes,AS Monaco,2.7
990,991,Vincenzo Grifo,ITA,MF,M'Gladbach,Bundesliga,24,1993,17,9,786,8.7,0,3,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.8,0.8,2.8,3.6,0.10,0.32,0.41,0.10,0.41,2017,Monchengladbach,Hoffenheim,4.95
1030,1031,Florent Hadergjonaj,KVX,DF,Huddersfield,Premier League,23,1994,23,19,"1,674",18.6,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,1.6,2.1,0.02,0.09,0.11,0.02,0.11,2017,Ingolstadt,Huddersfield,5
1045,1046,Genki Haraguchi,JPN,MF,Hertha BSC,Bundesliga,26,1991,7,2,211,2.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.2,0.07,0.43,0.50,0.07,0.50,2017,Hertha BSC,Hannover 96,3.6
1049,1050,Joe Hart,ENG,GK,West Ham,Premier League,30,1987,19,19,"1,710",19.0,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.8,0.8,0.00,0.04,0.04,0.00,0.04,2017,Manchester City,Burnley,3.9
1068,1069,Benjamin Henrichs,GER,DF,Leverkusen,Bundesliga,20,1997,23,11,"1,268",14.1,0,1,0,0,0,1,1,0.00,0.07,0.07,0.00,0.07,0.8,0.8,1.6,2.5,0.06,0.12,0.17,0.06,0.17,2017,Bayer Leverkusen,Monaco,20
1145,1146,Tom Ince,ENG,MF,Huddersfield,Premier League,25,1992,33,27,"2,452",27.2,2,0,2,0,0,0,0,0.07,0.00,0.07,0.07,0.07,6.4,6.4,0.9,7.3,0.23,0.03,0.27,0.23,0.27,2017,Huddersfield,Stoke,11.2
1167,1168,Armando Izzo,ITA,DF,Genoa,Serie A,25,1992,16,16,"1,387",15.4,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.1,0.8,0.05,0.00,0.05,0.05,0.05,2017,Genoa,Torino,7.2
1178,1179,Saidy Janko,GAM,DF,Saint-Étienne,Ligue 1,21,1995,21,16,"1,422",15.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.01,0.05,0.05,0.01,0.05,2017,St. Etienne,FC Porto,2.7
1210,1211,Jorginho,ITA,MF,Napoli,Serie A,25,1991,33,33,"2,650",29.4,2,3,1,1,2,5,0,0.07,0.10,0.17,0.03,0.14,2.2,0.5,3.6,4.1,0.07,0.12,0.20,0.02,0.14,2017,Napoli,Chelsea,51.3
1258,1259,Orestis Karnezis,GRE,GK,Watford,Premier League,32,1985,15,14,"1,292",14.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Udinese,Napoli,2.25
1269,1270,Thilo Kehrer,GER,DF,Schalke 04,Bundesliga,20,1996,28,27,"2,365",26.3,3,0,3,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.4,1.6,0.05,0.01,0.06,0.05,0.06,2017,Schalke 04,Paris SG,33
1283,1284,Wahbi Khazri,TUN,FW,Rennes,Ligue 1,26,1991,24,23,"1,918",21.3,9,2,6,3,4,8,1,0.42,0.09,0.52,0.28,0.38,8.3,5.3,3.6,8.9,0.39,0.17,0.56,0.25,0.42,2017,Sunderland,St. Etienne,6.3
1294,1295,Davy Klaassen,NED,MF,Everton,Premier League,24,1993,7,3,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,2017,Everton,Werder Bremen,13.5
1296,1297,Ragnar Klavan,EST,DF,Liverpool,Premier League,31,1985,19,16,"1,451",16.1,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05,2017,Liverpool,Cagliari,1.17
1314,1315,Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,24,1993,31,30,"2,614",29.0,4,4,4,0,0,12,1,0.14,0.14,0.28,0.14,0.28,2.2,2.2,2.5,4.7,0.08,0.08,0.16,0.08,0.16,2017,Inter Milan,Valencia,25
1327,1328,Cheikhou Kouyaté,SEN,MF,West Ham,Premier League,27,1989,33,32,"2,799",31.1,2,3,2,0,0,5,0,0.06,0.10,0.16,0.06,0.16,2.7,2.7,0.6,3.3,0.09,0.02,0.11,0.09,0.11,2017,West Ham,Crystal Palace,10.6
1364,1365,Alban Lafont,FRA,GK,Toulouse,Ligue 1,18,1999,38,38,"3,420",38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,2017,Toulouse,Fiorentina,7.65
1394,1395,Maxime Le Marchand,FRA,DF,Nice,Ligue 1,27,1989,29,29,"2,534",28.2,0,3,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.9,1.4,0.02,0.03,0.05,0.02,0.05,2017,Nice,Fulham,17
1403,1404,Thomas Lemar,FRA,MF,Monaco,Ligue 1,21,1995,30,27,"2,378",26.4,2,8,2,0,0,1,0,0.08,0.30,0.38,0.08,0.38,4.2,4.2,7.3,11.5,0.16,0.28,0.44,0.16,0.44,2017,AS Monaco,Atletico Madrid,58.5
1411,1412,Bernd Leno,GER,GK,Leverkusen,Bundesliga,25,1992,33,33,"2,970",33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,2017,Bayer Leverkusen,Arsenal,22.5
1416,1417,Jefferson Lerma,COL,MF,Levante,La Liga,22,1994,26,25,"2,135",23.7,0,1,0,0,0,16,0,0.00,0.04,0.04,0.00,0.04,1.5,1.5,0.9,2.4,0.06,0.04,0.10,0.06,0.10,2017,Levante UD,Bournemouth,25.2
1504,1505,Riyad Mahrez,ALG,MF,Leicester City,Premier League,26,1991,36,34,"2,950",32.8,12,10,12,0,0,2,0,0.37,0.31,0.67,0.37,0.67,5.9,5.9,8.3,14.2,0.18,0.25,0.43,0.18,0.43,2017,Leicester City,Manchester City,68
1516,1517,Malcom,BRA,FW,Bordeaux,Ligue 1,20,1997,35,32,"2,856",31.7,12,7,11,1,2,2,0,0.38,0.22,0.60,0.35,0.57,7.4,5.7,9.0,14.7,0.23,0.28,0.52,0.18,0.46,2017,Bordeaux,FC Barcelona,41
