,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
1783,1784,Marc Navarro,ESP,DF,Espanyol,La Liga,22,1995,19,10,"1,109",12.3,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,1.1,1.1,0.9,2.0,0.09,0.08,0.17,0.09,0.17,2017,Espanyol,Watford,1.8
1832,1833,Joel Obi,NGA,MF,Torino,Serie A,26,1991,22,16,"1,247",13.9,5,1,5,0,0,3,0,0.36,0.07,0.43,0.36,0.43,4.1,4.1,0.3,4.4,0.31,0.02,0.33,0.31,0.33,2017,Torino,Chievo Verona,1.8
1912,1913,Javier Pastore,ARG,MF,Paris S-G,Ligue 1,28,1989,25,14,"1,347",15.0,4,5,4,0,0,2,0,0.27,0.33,0.60,0.27,0.60,2.6,2.6,3.8,6.4,0.17,0.25,0.42,0.17,0.42,2017,PSG,AS Roma,22.2
1953,1954,Mattia Perin,ITA,GK,Genoa,Serie A,24,1992,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,2017,Genoa,Juventus,12
1988,1989,Alassane Pléa,FRA,FW,Nice,Ligue 1,24,1993,35,34,"3,041",33.8,16,5,15,1,2,6,0,0.47,0.15,0.62,0.44,0.59,13.5,11.9,3.1,15.1,0.40,0.09,0.49,0.35,0.45,2017,Nice,B. Monchengladbach,20.7
2067,2068,Recio,ESP,MF,Málaga,La Liga,26,1991,22,21,"1,837",20.4,1,2,0,1,1,11,1,0.05,0.10,0.15,0.00,0.10,1.7,0.9,1.5,2.4,0.08,0.08,0.16,0.04,0.12,2017,Malaga,Leganes,1.35
2089,2090,Richarlison,BRA,FW,Watford,Premier League,20,1997,38,32,"2,823",31.4,5,4,5,0,0,4,0,0.16,0.13,0.29,0.16,0.29,10.5,10.5,3.2,13.6,0.33,0.10,0.44,0.33,0.44,2017,Watford,Everton,40.5
2091,2092,Diego Rico,ESP,DF,Leganés,La Liga,24,1993,26,26,"2,228",24.8,2,2,2,0,0,9,1,0.08,0.08,0.16,0.08,0.16,1.6,1.6,2.8,4.3,0.06,0.11,0.17,0.06,0.17,2017,Leganes,Bournemouth,13.5
2118,2119,Rodri,ESP,MF,Villarreal,La Liga,21,1996,37,36,"3,227",35.9,1,3,1,0,0,8,0,0.03,0.08,0.11,0.03,0.11,1.4,1.4,1.8,3.3,0.04,0.05,0.09,0.04,0.09,2017,Villarreal,Atletico Madrid,20
2141,2142,Cristiano Ronaldo,POR,FW,Real Madrid,La Liga,32,1985,27,27,"2,285",25.4,26,5,23,3,4,1,0,1.02,0.20,1.22,0.91,1.10,23.6,20.5,4.8,25.3,0.93,0.19,1.12,0.81,0.99,2017,Real Madrid,Juventus,120
2160,2161,Sebastian Rudy,GER,MF,Bayern Munich,Bundesliga,27,1990,25,16,"1,515",16.8,1,4,1,0,0,2,0,0.06,0.24,0.30,0.06,0.30,0.8,0.8,1.0,1.8,0.05,0.06,0.11,0.05,0.11,2017,Bayern Munich,Schalke 04,14.4
2199,2200,Bartosz Salamon,POL,DF,SPAL,Serie A,26,1991,22,20,"1,725",19.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.04,0.01,0.05,0.04,0.05,2017,Cagliari,SPAL,1.8
2293,2294,Xherdan Shaqiri,SUI,FW,Stoke City,Premier League,25,1991,36,36,"3,039",33.8,8,7,8,0,1,5,0,0.24,0.21,0.44,0.24,0.44,5.7,5.0,7.0,12.0,0.17,0.21,0.38,0.15,0.36,2017,Stoke City,Liverpool,13.23
2299,2300,Sidnei,BRA,DF,La Coruña,La Liga,27,1989,21,21,"1,778",19.8,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,0.5,0.5,0.5,0.9,0.02,0.02,0.05,0.02,0.05,2017,Deportivo La Coruna,Real Betis,4.05
2339,2340,Ramadan Sobhi,EGY,FW,Stoke City,Premier League,20,1997,24,12,"1,238",13.8,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,1.2,2.9,0.13,0.08,0.21,0.13,0.21,2017,Stoke City,Huddersfield,5.85
2351,2352,David Soria,ESP,GK,Sevilla,La Liga,24,1993,15,15,"1,264",14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Sevilla,Getafe,2.7
2392,2393,Kevin Strootman,NED,MF,Roma,Serie A,27,1990,32,26,"2,258",25.1,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,2.9,2.9,1.5,4.4,0.12,0.06,0.18,0.12,0.18,2017,AS Roma,Marseille,22.5
2461,2462,Karl Toko Ekambi,CMR,FW,Angers,Ligue 1,24,1992,37,33,"3,040",33.8,17,6,14,3,3,4,0,0.50,0.18,0.68,0.41,0.59,16.2,13.9,4.2,18.1,0.48,0.12,0.60,0.41,0.54,2017,Angers,Villarreal,18
2476,2477,Lucas Torreira,URU,MF,Sampdoria,Serie A,21,1996,36,36,"3,180",35.3,4,1,4,0,0,6,0,0.11,0.03,0.14,0.11,0.14,1.6,1.6,2.0,3.5,0.04,0.06,0.10,0.04,0.10,2017,Sampdoria,Arsenal,27
2507,2508,Marco Tumminello,ITA,FW,Roma,Serie A,18,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,AS Roma,Atalanta,4.5
2508,2509,Marco Tumminello,ITA,FW,Crotone,Serie A,18,1998,9,2,203,2.3,3,1,3,0,0,1,0,1.33,0.44,1.77,1.33,1.77,0.9,0.9,0.7,1.6,0.42,0.30,0.72,0.42,0.72,2017,AS Roma,Atalanta,4.5
2550,2551,Simone Verdi,ITA,FW,Bologna,Serie A,25,1992,34,34,"2,827",31.4,10,8,8,2,2,2,0,0.32,0.25,0.57,0.25,0.51,8.1,6.6,5.6,12.2,0.26,0.18,0.44,0.21,0.39,2017,Bologna,Napoli,22.5
2559,2560,Jannik Vestergaard,DEN,DF,M'Gladbach,Bundesliga,24,1992,32,32,"2,880",32.0,3,0,3,0,0,5,0,0.09,0.00,0.09,0.09,0.09,1.8,1.8,0.8,2.6,0.06,0.02,0.08,0.06,0.08,2017,B. Monchengladbach,Southampton,20
2562,2563,Aleix Vidal,ESP,MF,Barcelona,La Liga,27,1989,15,4,460,5.1,1,1,1,0,0,0,0,0.20,0.20,0.39,0.20,0.39,1.0,1.0,0.9,1.8,0.19,0.17,0.36,0.19,0.36,2017,FC Barcelona,Sevilla,7.65
2563,2564,Arturo Vidal,CHI,MF,Bayern Munich,Bundesliga,30,1987,22,17,"1,456",16.2,6,2,6,0,0,6,0,0.37,0.12,0.49,0.37,0.49,4.6,4.6,2.3,6.9,0.29,0.14,0.43,0.29,0.43,2017,Bayern Munich,FC Barcelona,22
2577,2578,Emiliano Viviano,ITA,GK,Sampdoria,Serie A,31,1985,27,27,"2,430",27.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Sampdoria,Sporting CP,1.8
2593,2594,Walace,BRA,MF,Hamburger SV,Bundesliga,22,1995,18,16,"1,318",14.6,1,2,1,0,0,3,0,0.07,0.14,0.20,0.07,0.20,0.7,0.7,1.2,1.9,0.05,0.08,0.13,0.05,0.13,2017,Hamburger SV,Hannover 96,5.4
2609,2610,Daniel Wass,DEN,MF,Celta Vigo,La Liga,28,1989,35,34,"2,932",32.6,4,8,4,0,0,3,0,0.12,0.25,0.37,0.12,0.37,4.2,4.2,4.4,8.5,0.13,0.13,0.26,0.13,0.26,2017,Celta Vigo,Valencia,5.4
2636,2637,Marius Wolf,GER,MF,Eint Frankfurt,Bundesliga,22,1995,28,27,"2,363",26.3,5,8,5,0,0,4,0,0.19,0.30,0.50,0.19,0.50,3.1,3.1,5.3,8.4,0.12,0.20,0.32,0.12,0.32,2017,Eint. Frankfurt,Bor. Dortmund,5
2714,24,Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,29,29,"2,528",28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,2018,Montpellier,Monaco,7.5
2715,24,Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,29,29,"2,528",28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,2018,Montpellier,Monaco,7.5
2778,87,Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32,32,"2,880",32.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05,2018,Sampdoria,Lyon,26
2779,87,Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32,32,"2,880",32.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05,2018,Sampdoria,Lyon,26
2832,140,Charlie Austin,ENG,FW,Southampton,Premier League,29,1989,25,11,983,10.9,2,2,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,3.6,3.1,0.2,3.3,0.33,0.02,0.35,0.29,0.31,2018,Southampton,West Brom,4.3
2833,140,Charlie Austin,ENG,FW,Southampton,Premier League,29,1989,25,11,983,10.9,2,2,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,3.6,3.1,0.2,3.3,0.33,0.02,0.35,0.29,0.31,2018,Southampton,West Brom,4.3
2835,142,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,26,1991,20,14,"1,181",13.1,1,2,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,2.5,2.5,1.1,3.7,0.19,0.09,0.28,0.19,0.28,2018,Swansea,Crystal Palace,3
2836,142,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,26,1991,20,14,"1,181",13.1,1,2,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,2.5,2.5,1.1,3.7,0.19,0.09,0.28,0.19,0.28,2018,Swansea,Crystal Palace,3
2910,216,Timo Baumgartl,GER,DF,Stuttgart,Bundesliga,22,1996,18,18,"1,620",18.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.0,0.3,0.01,0.00,0.01,0.01,0.01,2018,Stuttgart,PSV Eindhoven,9
2911,216,Timo Baumgartl,GER,DF,Stuttgart,Bundesliga,22,1996,18,18,"1,620",18.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.0,0.3,0.01,0.00,0.01,0.01,0.01,2018,Stuttgart,PSV Eindhoven,9
2936,241,Wissam Ben Yedder,FRA,FW,Sevilla,La Liga,27,1990,35,31,"2,812",31.2,18,9,16,2,2,3,0,0.58,0.29,0.86,0.51,0.80,17.6,16.0,6.6,22.7,0.56,0.21,0.77,0.51,0.73,2018,Sevilla,Monaco,40
2937,241,Wissam Ben Yedder,FRA,FW,Sevilla,La Liga,27,1990,35,31,"2,812",31.2,18,9,16,2,2,3,0,0.58,0.29,0.86,0.51,0.80,17.6,16.0,6.6,22.7,0.56,0.21,0.77,0.51,0.73,2018,Sevilla,Monaco,40
2950,254,Ramy Bensebaini,ALG,DF,Rennes,Ligue 1,23,1995,25,24,"2,152",23.9,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,1.1,2.0,0.04,0.04,0.08,0.04,0.08,2018,Rennes,Monchengladbach,8
2951,254,Ramy Bensebaini,ALG,DF,Rennes,Ligue 1,23,1995,25,24,"2,152",23.9,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,1.1,2.0,0.04,0.04,0.08,0.04,0.08,2018,Rennes,Monchengladbach,8
2980,283,Pedro Bigas,ESP,DF,Eibar,La Liga,27,1990,10,7,585,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,2018,UD Las Palmas,Eibar,2.7
2981,283,Pedro Bigas,ESP,DF,Eibar,La Liga,27,1990,10,7,585,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,2018,UD Las Palmas,Eibar,2.7
2983,285,Philip Billing,DEN,MF,Huddersfield,Premier League,22,1996,27,25,"2,188",24.3,2,0,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,1.9,1.9,0.9,2.9,0.08,0.04,0.12,0.08,0.12,2018,Huddersfield,Bournemouth,15
2984,285,Philip Billing,DEN,MF,Huddersfield,Premier League,22,1996,27,25,"2,188",24.3,2,0,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,1.9,1.9,0.9,2.9,0.08,0.04,0.12,0.08,0.12,2018,Huddersfield,Bournemouth,15
3003,304,Antonin Bobichon,FRA,MF,Nîmes,Ligue 1,22,1995,30,24,"2,153",23.9,7,2,7,0,1,2,0,0.29,0.08,0.38,0.29,0.38,2.7,1.9,2.3,4.2,0.11,0.10,0.21,0.08,0.18,2018,Nimes,Angers,1.5
3004,304,Antonin Bobichon,FRA,MF,Nîmes,Ligue 1,22,1995,30,24,"2,153",23.9,7,2,7,0,1,2,0,0.29,0.08,0.38,0.29,0.38,2.7,1.9,2.3,4.2,0.11,0.10,0.21,0.08,0.18,2018,Nimes,Angers,1.5
3021,321,Olivier Boscagli,FRA,DF,Nice,Ligue 1,20,1997,14,10,863,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.8,1.1,0.03,0.09,0.12,0.03,0.12,2018,Nice,PSV Eindhoven,2
3022,321,Olivier Boscagli,FRA,DF,Nice,Ligue 1,20,1997,14,10,863,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.8,1.1,0.03,0.09,0.12,0.03,0.12,2018,Nice,PSV Eindhoven,2
3025,324,Denis Bouanga,GAB,FW,Nîmes,Ligue 1,23,1994,35,29,"2,633",29.3,8,2,8,0,0,5,0,0.27,0.07,0.34,0.27,0.34,7.2,7.2,2.8,10.0,0.25,0.10,0.34,0.25,0.34,2018,Nimes,Saint Etienne,4.05
3026,324,Denis Bouanga,GAB,FW,Nîmes,Ligue 1,23,1994,35,29,"2,633",29.3,8,2,8,0,0,5,0,0.27,0.07,0.34,0.27,0.34,7.2,7.2,2.8,10.0,0.25,0.10,0.34,0.25,0.34,2018,Nimes,Saint Etienne,4.05
3028,326,Ryad Boudebouz,ALG,MF,Celta Vigo,La Liga,28,1990,11,8,717,8.0,1,2,1,0,0,2,1,0.13,0.25,0.38,0.13,0.38,1.0,1.0,2.1,3.1,0.13,0.26,0.39,0.13,0.39,2018,Real Betis,Saint Etienne,3.15
3029,326,Ryad Boudebouz,ALG,MF,Celta Vigo,La Liga,28,1990,11,8,717,8.0,1,2,1,0,0,2,1,0.13,0.25,0.38,0.13,0.38,1.0,1.0,2.1,3.1,0.13,0.26,0.39,0.13,0.39,2018,Real Betis,Saint Etienne,3.15
3030,327,Ryad Boudebouz,ALG,MF,Betis,La Liga,28,1990,9,6,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,2.0,0.10,0.24,0.34,0.10,0.34,2018,Real Betis,Saint Etienne,3.15
3031,327,Ryad Boudebouz,ALG,MF,Betis,La Liga,28,1990,9,6,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,2.0,0.10,0.24,0.34,0.10,0.34,2018,Real Betis,Saint Etienne,3.15
3043,339,Julian Brandt,GER,MF,Leverkusen,Bundesliga,22,1996,33,30,"2,666",29.6,7,11,7,0,0,0,0,0.24,0.37,0.61,0.24,0.61,7.9,7.9,9.0,16.9,0.27,0.31,0.57,0.27,0.57,2018,Bayer Leverkusen,Bor. Dortmund,22.5
3044,339,Julian Brandt,GER,MF,Leverkusen,Bundesliga,22,1996,33,30,"2,666",29.6,7,11,7,0,0,0,0,0.24,0.37,0.61,0.24,0.61,7.9,7.9,9.0,16.9,0.27,0.31,0.57,0.27,0.57,2018,Bayer Leverkusen,Bor. Dortmund,22.5
3062,357,Bruma,POR,MF,RB Leipzig,Bundesliga,23,1994,14,6,553,6.1,1,1,1,0,1,1,0,0.16,0.16,0.33,0.16,0.33,1.3,0.5,1.2,1.8,0.21,0.20,0.41,0.09,0.29,2018,RB Leipzig,PSV Eindhoven,13.5
3063,357,Bruma,POR,MF,RB Leipzig,Bundesliga,23,1994,14,6,553,6.1,1,1,1,0,1,1,0,0.16,0.16,0.33,0.16,0.33,1.3,0.5,1.2,1.8,0.21,0.20,0.41,0.09,0.29,2018,RB Leipzig,PSV Eindhoven,13.5
3102,396,Fernando Calero,ESP,DF,Valladolid,La Liga,22,1995,36,35,"3,130",34.8,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02,2018,Real Valladolid,Espanyol,7.2
3103,396,Fernando Calero,ESP,DF,Valladolid,La Liga,22,1995,36,35,"3,130",34.8,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02,2018,Real Valladolid,Espanyol,7.2
3113,406,Rafael Camacho,POR,DF,Liverpool,Premier League,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Liverpool,Sporting CP,5.5
3114,406,Rafael Camacho,POR,DF,Liverpool,Premier League,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Liverpool,Sporting CP,5.5
3135,427,Marc Cardona,ESP,FW,Eibar,La Liga,23,1995,17,6,604,6.7,3,1,3,0,0,1,0,0.45,0.15,0.60,0.45,0.60,2.8,2.8,0.6,3.4,0.41,0.10,0.51,0.41,0.51,2018,FC Barcelona,Osasuna,2.25
3136,427,Marc Cardona,ESP,FW,Eibar,La Liga,23,1995,17,6,604,6.7,3,1,3,0,0,1,0,0.45,0.15,0.60,0.45,0.60,2.8,2.8,0.6,3.4,0.41,0.10,0.51,0.41,0.51,2018,FC Barcelona,Osasuna,2.25
3137,428,Diego Carlos,BRA,DF,Nantes,Ligue 1,25,1993,35,35,"3,148",35.0,2,0,2,0,0,8,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.2,2.1,0.06,0.01,0.06,0.06,0.06,2018,Nantes,Sevilla,15
3138,428,Diego Carlos,BRA,DF,Nantes,Ligue 1,25,1993,35,35,"3,148",35.0,2,0,2,0,0,8,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.2,2.1,0.06,0.01,0.06,0.06,0.06,2018,Nantes,Sevilla,15
3184,474,Denis Cheryshev,RUS,MF,Valencia,La Liga,27,1990,27,19,"1,706",19.0,2,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,3.2,3.2,6.8,10.0,0.17,0.36,0.53,0.17,0.53,2018,Villarreal,Valencia,6
3185,474,Denis Cheryshev,RUS,MF,Valencia,La Liga,27,1990,27,19,"1,706",19.0,2,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,3.2,3.2,6.8,10.0,0.17,0.36,0.53,0.17,0.53,2018,Villarreal,Valencia,6
3201,490,Jasper Cillessen,NED,GK,Barcelona,La Liga,29,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,FC Barcelona,Valencia,35
3202,490,Jasper Cillessen,NED,GK,Barcelona,La Liga,29,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,FC Barcelona,Valencia,35
3265,553,Marc Cucurella,ESP,MF,Eibar,La Liga,20,1998,31,26,"2,354",26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20,2018,Eibar,Barcelona,4
3266,553,Marc Cucurella,ESP,MF,Eibar,La Liga,20,1998,31,26,"2,354",26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20,2018,FC Barcelona,Eibar,1.80
3267,553,Marc Cucurella,ESP,MF,Eibar,La Liga,20,1998,31,26,"2,354",26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20,2018,Eibar,Barcelona,4
3268,553,Marc Cucurella,ESP,MF,Eibar,La Liga,20,1998,31,26,"2,354",26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20,2018,FC Barcelona,Eibar,1.80
3273,558,Patrick Cutrone,ITA,FW,Milan,Serie A,20,1998,34,12,"1,457",16.2,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,4.1,4.1,2.4,6.5,0.25,0.15,0.40,0.25,0.40,2018,AC Milan,Wolves,17
3274,558,Patrick Cutrone,ITA,FW,Milan,Serie A,20,1998,34,12,"1,457",16.2,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,4.1,4.1,2.4,6.5,0.25,0.15,0.40,0.25,0.40,2018,AC Milan,Wolves,17
3325,609,Andy Delort,ALG,FW,Montpellier,Ligue 1,26,1991,36,36,"3,115",34.6,14,7,11,3,3,4,0,0.40,0.20,0.61,0.32,0.52,13.7,11.4,5.9,17.3,0.40,0.17,0.57,0.33,0.50,2018,Toulouse,Montpellier,5
3326,609,Andy Delort,ALG,FW,Montpellier,Ligue 1,26,1991,36,36,"3,115",34.6,14,7,11,3,3,4,0,0.40,0.20,0.61,0.32,0.52,13.7,11.4,5.9,17.3,0.40,0.17,0.57,0.33,0.50,2018,Toulouse,Montpellier,5
3327,610,Fabian Delph,ENG,DF,Manchester City,Premier League,28,1989,11,8,725,8.1,0,1,0,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.4,0.5,0.01,0.05,0.07,0.01,0.07,2018,Manchester City,Everton,9.5
3328,610,Fabian Delph,ENG,DF,Manchester City,Premier League,28,1989,11,8,725,8.1,0,1,0,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.4,0.5,0.01,0.05,0.07,0.01,0.07,2018,Manchester City,Everton,9.5
3334,616,Kerem Demirbay,GER,MF,Hoffenheim,Bundesliga,25,1993,26,24,"2,017",22.4,4,9,4,0,0,6,0,0.18,0.40,0.58,0.18,0.58,4.0,4.0,8.5,12.5,0.18,0.38,0.56,0.18,0.56,2018,Hoffenheim,Bayer Leverkusen,29
3335,616,Kerem Demirbay,GER,MF,Hoffenheim,Bundesliga,25,1993,26,24,"2,017",22.4,4,9,4,0,0,6,0,0.18,0.40,0.58,0.18,0.58,4.0,4.0,8.5,12.5,0.18,0.38,0.56,0.18,0.56,2018,Hoffenheim,Bayer Leverkusen,29
3356,637,Moussa Diaby,FRA,MF,Paris S-G,Ligue 1,19,1999,25,10,"1,141",12.7,2,6,2,0,0,1,0,0.16,0.47,0.63,0.16,0.63,2.3,2.3,4.2,6.6,0.18,0.34,0.52,0.18,0.52,2018,PSG,Bayer Leverkusen,13.5
3357,637,Moussa Diaby,FRA,MF,Paris S-G,Ligue 1,19,1999,25,10,"1,141",12.7,2,6,2,0,0,1,0,0.16,0.47,0.63,0.16,0.63,2.3,2.3,4.2,6.6,0.18,0.34,0.52,0.18,0.52,2018,PSG,Bayer Leverkusen,13.5
3361,641,Abdou Diallo,SEN,DF,Dortmund,Bundesliga,22,1996,28,27,"2,379",26.4,1,1,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,1.5,0.03,0.03,0.06,0.03,0.06,2018,Borussia Dortmund,PSG,31
3362,641,Abdou Diallo,SEN,DF,Dortmund,Bundesliga,22,1996,28,27,"2,379",26.4,1,1,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,1.5,0.03,0.03,0.06,0.03,0.06,2018,Borussia Dortmund,PSG,31
3464,743,Breel Embolo,SUI,FW,Schalke 04,Bundesliga,21,1997,20,15,"1,345",14.9,5,1,5,0,0,4,0,0.33,0.07,0.40,0.33,0.40,3.6,3.6,2.4,6.1,0.24,0.16,0.41,0.24,0.41,2018,Schalke 04,Monchengladbach,9
3465,743,Breel Embolo,SUI,FW,Schalke 04,Bundesliga,21,1997,20,15,"1,345",14.9,5,1,5,0,0,4,0,0.33,0.07,0.40,0.33,0.40,3.6,3.6,2.4,6.1,0.24,0.16,0.41,0.24,0.41,2018,Schalke 04,Monchengladbach,9
3466,744,Emerson,BRA,DF,Betis,La Liga,19,1999,6,4,317,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.05,0.10,0.15,0.05,0.15,2018,Atletico MG,FC Barcelona,10.8
3467,744,Emerson,BRA,DF,Betis,La Liga,19,1999,6,4,317,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.05,0.10,0.15,0.05,0.15,2018,Atletico MG,FC Barcelona,10.8
3508,785,Nabil Fekir,FRA,MF,Lyon,Ligue 1,25,1993,29,24,"1,988",22.1,9,7,5,4,6,5,0,0.41,0.32,0.72,0.23,0.54,10.5,6.0,5.6,11.6,0.48,0.25,0.73,0.27,0.52,2018,Lyon,Real Betis,19.7
3509,785,Nabil Fekir,FRA,MF,Lyon,Ligue 1,25,1993,29,24,"1,988",22.1,9,7,5,4,6,5,0,0.41,0.32,0.72,0.23,0.54,10.5,6.0,5.6,11.6,0.48,0.25,0.73,0.27,0.52,2018,Lyon,Real Betis,19.7
3511,787,Felipe,BRA,DF,Hannover 96,Bundesliga,31,1987,17,14,"1,095",12.2,2,0,2,0,0,5,1,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.0,0.8,0.06,0.00,0.06,0.06,0.06,2018,FC Porto,Atletico Madrid,18
3512,787,Felipe,BRA,DF,Hannover 96,Bundesliga,31,1987,17,14,"1,095",12.2,2,0,2,0,0,5,1,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.0,0.8,0.06,0.00,0.06,0.06,0.06,2018,FC Porto,Atletico Madrid,18
3529,804,Jordan Ferri,FRA,MF,Lyon,Ligue 1,26,1992,4,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Lyon,Montpellier,2
3530,804,Jordan Ferri,FRA,MF,Lyon,Ligue 1,26,1992,4,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Lyon,Montpellier,2
