,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Year,From,To,Price,Price (m)
326,4965,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.1,0.31,0.41,0.1,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2,2.0
327,4966,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.1,0.31,0.41,0.1,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2,2.0
328,4967,2167,Yannis Salibur,FRA,FW,Saint-Étienne,Ligue 1,27,1991,21,9,885,9.8,1,3,1,0,0,2,1,0.1,0.31,0.41,0.1,0.41,1.9,1.9,1.8,3.7,0.19,0.19,0.38,0.19,0.38,2018,Guingamp,Mallorca,2,2.0
329,4968,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,2018,Guingamp,Mallorca,2,2.0
330,4969,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,2018,Guingamp,Mallorca,2,2.0
331,4970,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,2018,Guingamp,Mallorca,2,2.0
332,4971,2168,Yannis Salibur,FRA,FW,Guingamp,Ligue 1,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,2018,Guingamp,Mallorca,2,2.0
333,4974,2171,Brice Samba,CGO,GK,Caen,Ligue 1,24,1994,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Caen,Nottingham Forest,2.1,2.1
334,4975,2171,Brice Samba,CGO,GK,Caen,Ligue 1,24,1994,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Caen,Nottingham Forest,2.1,2.1
335,4982,2178,Renato Sanches,POR,MF,Bayern Munich,Bundesliga,20,1997,17,4,577,6.4,1,1,1,0,0,2,1,0.16,0.16,0.31,0.16,0.31,1.4,1.4,0.4,1.8,0.22,0.06,0.28,0.22,0.28,2018,Bayern Munich,Lille,20,20.0
