,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year
25,26,Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.45,0.02,0.47,0.45,0.47,2017
26,27,Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,25,22,"1,963",21.8,21,6,17,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.5,14.4,7.4,21.8,0.80,0.34,1.14,0.66,1.00,2017
27,28,Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,31,27,"2,459",27.3,0,2,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,2.6,3.3,0.03,0.09,0.12,0.03,0.12,2017
28,29,Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,15,14,"1,153",12.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.04,0.04,0.09,0.04,0.09,2017
29,30,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,35,35,"3,006",33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,3.0,3.0,0.6,3.6,0.09,0.02,0.11,0.09,0.11,2017
30,31,Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.13,0.15,0.02,0.15,2017
31,32,Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,27,25,"2,047",22.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,1.7,0.03,0.04,0.08,0.03,0.08,2017
32,33,Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,21,15,"1,271",14.1,0,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,2017
33,34,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,11,10,904,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,2017
34,35,Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,38,37,"3,353",37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.9,4.3,0.07,0.05,0.12,0.07,0.12,2017
35,36,Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,3,0,37,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.20,0.00,0.20,0.20,0.20,2017
36,37,Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,22,13,"1,102",12.2,5,0,5,0,1,2,0,0.41,0.00,0.41,0.41,0.41,4.8,4.0,1.7,5.7,0.39,0.14,0.53,0.33,0.47,2017
37,38,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,22,17,"1,690",18.8,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.5,1.7,0.01,0.08,0.09,0.01,0.09,2017
38,39,David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,23,17,"1,551",17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1.0,1.0,2.2,3.2,0.06,0.13,0.18,0.06,0.18,2017
39,40,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,23,17,"1,550",17.2,9,4,8,1,2,4,1,0.52,0.23,0.75,0.46,0.70,10.9,9.4,1.7,11.1,0.63,0.10,0.73,0.54,0.64,2017
40,41,David Alba,ESP,DF,Getafe,La Liga,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
41,42,Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,33,30,"2,744",30.5,2,8,2,0,0,7,0,0.07,0.26,0.33,0.07,0.33,2.2,2.2,4.4,6.5,0.07,0.14,0.21,0.07,0.21,2017
42,43,Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,20,19,"1,748",19.4,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.5,0.07,0.00,0.08,0.07,0.08,2017
43,44,Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,34,32,"2,669",29.7,11,14,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.1,16.5,0.27,0.34,0.61,0.21,0.56,2017
44,45,Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,31,30,"2,742",30.5,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,1.8,1.8,1.2,3.1,0.06,0.04,0.10,0.06,0.10,2017
45,46,Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,10,7,703,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.03,0.15,0.18,0.03,0.18,2017
46,47,Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,34,30,"2,538",28.2,2,7,2,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.6,1.6,5.1,6.6,0.06,0.18,0.24,0.06,0.24,2017
47,48,Paco Alcácer,ESP,MF,Barcelona,La Liga,23,1993,17,8,695,7.7,4,3,4,0,0,0,0,0.52,0.39,0.91,0.52,0.91,3.0,3.0,2.2,5.2,0.39,0.28,0.67,0.39,0.67,2017
48,49,Pedro Alcalá,ESP,DF,Girona,La Liga,28,1989,8,8,689,7.7,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.3,1.1,0.11,0.03,0.14,0.11,0.14,2017
49,50,Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,26,1991,19,12,"1,247",13.9,2,2,2,0,0,3,0,0.14,0.14,0.29,0.14,0.29,2.3,2.3,2.4,4.7,0.16,0.17,0.34,0.16,0.34,2017
50,51,David Alcibiade,FRA,DF,Nantes,Ligue 1,25,1991,3,2,208,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.1,0.1,0.2,0.2,0.03,0.08,0.10,0.03,0.10,2017
51,52,Toby Alderweireld,BEL,DF,Tottenham,Premier League,28,1989,14,13,"1,178",13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,2017
52,53,Steve Aldo One,CMR,DF,La Coruña,La Liga,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
53,54,Álex Alegría,ESP,FW,Levante,La Liga,24,1992,9,8,628,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.17,0.01,0.18,0.17,0.18,2017
54,55,Iván Alejo,ESP,MF,Eibar,La Liga,22,1995,22,14,"1,102",12.2,1,3,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,0.4,0.4,1.3,1.7,0.04,0.10,0.14,0.04,0.14,2017
