,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year
628,629,Steven Defour,BEL,MF,Burnley,Premier League,29,1988,24,24,"1,997",22.2,1,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,0.8,0.8,1.2,2.0,0.03,0.05,0.09,0.03,0.09,2017
629,630,Grégoire Defrel,MTQ,FW,Roma,Serie A,26,1991,15,5,485,5.4,1,0,0,1,1,1,0,0.19,0.00,0.19,0.00,0.00,2.9,2.2,0.5,2.7,0.55,0.10,0.64,0.40,0.50,2017
630,631,Alessandro Deiola,ITA,MF,Cagliari,Serie A,21,1995,13,4,449,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,1.2,0.14,0.09,0.24,0.14,0.24,2017
631,632,Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,27,1990,15,7,760,8.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,2017
632,633,Damien Delaney,IRL,DF,Crystal Palace,Premier League,36,1981,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
633,634,Thomas Delaney,DEN,MF,Werder Bremen,Bundesliga,25,1991,32,31,"2,796",31.1,3,4,3,0,0,5,0,0.10,0.13,0.23,0.10,0.23,4.2,4.2,2.5,6.7,0.13,0.08,0.21,0.13,0.21,2017
634,635,Jonathan Delaplace,FRA,MF,Caen,Ligue 1,31,1986,12,5,583,6.5,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,0.6,1.1,0.08,0.10,0.17,0.08,0.17,2017
635,636,Cristian Dell'Orco,ITA,DF,Sassuolo,Serie A,23,1994,8,5,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,2017
636,637,Andy Delort,ALG,FW,Toulouse,Ligue 1,25,1991,32,25,"2,333",25.9,5,5,4,1,2,5,0,0.19,0.19,0.39,0.15,0.35,10.0,8.4,4.5,13.0,0.38,0.18,0.56,0.33,0.50,2017
637,638,Fabian Delph,ENG,DF,Manchester City,Premier League,27,1989,22,21,"1,741",19.3,1,2,1,0,0,2,0,0.05,0.10,0.16,0.05,0.16,0.2,0.2,1.2,1.4,0.01,0.06,0.07,0.01,0.07,2017
638,639,Mousa Dembélé,BEL,MF,Tottenham,Premier League,30,1987,28,21,"1,879",20.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.2,0.02,0.04,0.06,0.02,0.06,2017
639,640,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,20,1997,17,12,925,10.3,3,6,3,0,0,2,0,0.29,0.58,0.88,0.29,0.88,2.4,2.4,3.8,6.3,0.24,0.37,0.61,0.24,0.61,2017
640,641,Jessy Deminguet,FRA,MF,Caen,Ligue 1,19,1998,12,5,534,5.9,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1.1,1.4,0.06,0.18,0.24,0.06,0.24,2017
641,642,Kerem Demirbay,GER,MF,Hoffenheim,Bundesliga,24,1993,19,13,"1,211",13.5,2,2,1,1,1,3,0,0.15,0.15,0.30,0.07,0.22,2.0,1.3,2.2,3.5,0.15,0.16,0.31,0.09,0.26,2017
642,643,Ermedin Demirović,BIH,FW,Alavés,La Liga,19,1998,3,2,182,2.0,1,1,1,0,0,0,0,0.49,0.49,0.99,0.49,0.99,0.9,0.9,0.1,0.9,0.43,0.03,0.46,0.43,0.46,2017
643,644,Diego Demme,GER,MF,RB Leipzig,Bundesliga,25,1991,30,25,"2,284",25.4,0,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,1.8,2.2,0.02,0.07,0.09,0.02,0.09,2017
644,645,Fabio Depaoli,ITA,MF,Chievo,Serie A,20,1997,19,13,"1,192",13.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.03,0.04,0.07,0.03,0.07,2017
645,646,Memphis Depay,NED,FW,Lyon,Ligue 1,23,1994,36,28,"2,555",28.4,19,13,17,2,2,2,0,0.67,0.46,1.13,0.60,1.06,14.0,12.8,8.4,21.2,0.49,0.30,0.79,0.45,0.75,2017
646,647,Mathieu Deplagne,FRA,DF,Troyes,Ligue 1,25,1991,28,28,"2,410",26.8,0,2,0,0,0,5,1,0.00,0.07,0.07,0.00,0.07,0.4,0.4,1.3,1.7,0.01,0.05,0.06,0.01,0.06,2017
647,648,Laurent Depoitre,BEL,FW,Huddersfield,Premier League,28,1988,33,18,"1,820",20.2,6,1,6,0,0,1,0,0.30,0.05,0.35,0.30,0.35,4.0,4.0,1.2,5.2,0.20,0.06,0.26,0.20,0.26,2017
648,649,Mike van der Hoorn,NED,DF,Swansea City,Premier League,24,1992,24,24,"1,944",21.6,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.6,1.5,0.04,0.03,0.07,0.04,0.07,2017
649,650,Gregory van der Wiel,NED,DF,Cagliari,Serie A,29,1988,5,3,288,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.03,0.00,0.03,2017
650,651,Daniele Dessena,ITA,MF,Cagliari,Serie A,30,1987,17,7,573,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.02,0.04,0.06,0.02,0.06,2017
651,652,Mattia Destro,ITA,FW,Bologna,Serie A,26,1991,26,19,"1,617",18.0,6,2,6,0,0,3,0,0.33,0.11,0.45,0.33,0.45,7.2,7.2,1.4,8.6,0.40,0.08,0.48,0.40,0.48,2017
652,653,Gerard Deulofeu,ESP,FW,Watford,Premier League,23,1994,7,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.7,1.3,0.12,0.14,0.26,0.12,0.26,2017
653,654,Gerard Deulofeu,ESP,MF,Barcelona,La Liga,23,1994,10,5,503,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.1,1.1,1.3,2.4,0.20,0.23,0.43,0.20,0.43,2017
654,655,Gianluca Di Chiara,ITA,DF,Benevento,Serie A,23,1993,13,11,"1,007",11.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.05,0.06,0.01,0.06,2017
655,656,Federico Di Francesco,ITA,FW,Bologna,Serie A,23,1994,24,20,"1,591",17.7,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.5,2.5,1.6,4.1,0.14,0.09,0.23,0.14,0.23,2017
656,657,Davide Di Gennaro,ITA,MF,Lazio,Serie A,29,1988,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
657,658,Ángel Di María,ARG,FW,Paris S-G,Ligue 1,29,1988,30,26,"2,111",23.5,11,6,11,0,0,1,0,0.47,0.26,0.72,0.47,0.72,11.8,11.8,8.0,19.8,0.50,0.34,0.85,0.50,0.85,2017
658,659,Franco Di Santo,ARG,FW,Schalke 04,Bundesliga,28,1989,30,22,"1,654",18.4,3,1,2,1,1,4,0,0.16,0.05,0.22,0.11,0.16,3.7,3.0,1.8,4.7,0.20,0.10,0.30,0.16,0.26,2017
659,660,Cheick Diabaté,MLI,FW,Benevento,Serie A,29,1988,11,7,664,7.4,8,0,8,0,0,1,2,1.08,0.00,1.08,1.08,1.08,5.2,5.2,0.2,5.4,0.71,0.02,0.73,0.71,0.73,2017
660,661,Fousseni Diabaté,MLI,MF,Leicester City,Premier League,21,1995,14,5,587,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.6,1.0,0.06,0.09,0.15,0.06,0.15,2017
661,662,Moussa Diaby,FRA,MF,Crotone,Serie A,18,1999,2,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
662,663,Fallou Diagne,SEN,DF,Metz,Ligue 1,27,1989,29,26,"2,238",24.9,1,1,1,0,0,8,2,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.3,0.9,0.02,0.01,0.04,0.02,0.04,2017
663,664,Adama Diakhaby,FRA,FW,Monaco,Ligue 1,21,1996,22,10,850,9.4,2,3,2,0,0,2,1,0.21,0.32,0.53,0.21,0.53,2.0,2.0,0.8,2.7,0.21,0.08,0.29,0.21,0.29,2017
664,665,Mouctar Diakhaby,GUI,DF,Lyon,Ligue 1,20,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,2017
665,666,Abdou Diallo,SEN,DF,Mainz 05,Bundesliga,21,1996,27,27,"2,415",26.8,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,2.3,2.3,0.8,3.2,0.09,0.03,0.12,0.09,0.12,2017
666,667,Abdoulaye Diallo,SEN,GK,Rennes,Ligue 1,25,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
667,668,Habib Diallo,SEN,FW,Metz,Ligue 1,22,1995,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
668,669,Mustapha Diallo,SEN,MF,Guingamp,Ligue 1,31,1986,26,16,"1,384",15.4,5,0,5,0,0,6,0,0.33,0.00,0.33,0.33,0.33,3.7,3.7,0.3,4.0,0.24,0.02,0.26,0.24,0.26,2017
669,670,Mohamed Diamé,SEN,MF,Newcastle Utd,Premier League,30,1987,31,23,"2,041",22.7,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.5,2.1,0.07,0.02,0.09,0.07,0.09,2017
670,671,Lassana Diarra,FRA,MF,Paris S-G,Ligue 1,32,1985,10,8,606,6.7,0,1,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,2017
671,672,Amadou Diawara,GUI,MF,Napoli,Serie A,20,1997,18,5,655,7.3,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.4,0.5,0.02,0.05,0.07,0.02,0.07,2017
672,673,Brahim Díaz,ESP,FW,Manchester City,Premier League,17,1999,5,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.72,0.00,0.72,0.72,0.72,2017
673,674,Bakaye Dibassy,MLI,DF,Amiens,Ligue 1,27,1989,32,31,"2,778",30.9,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.4,1.4,0.6,2.0,0.04,0.02,0.06,0.04,0.06,2017
674,675,Daniel Didavi,GER,MF,Wolfsburg,Bundesliga,27,1990,30,26,"2,237",24.9,9,5,9,0,0,4,0,0.36,0.20,0.56,0.36,0.56,5.4,5.4,2.8,8.2,0.22,0.11,0.33,0.22,0.33,2017
675,676,Thomas Didillon,FRA,GK,Metz,Ligue 1,21,1995,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
676,677,Étienne Didot,FRA,MF,Guingamp,Ligue 1,34,1983,23,21,"1,621",18.0,2,1,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,0.5,0.5,0.8,1.3,0.03,0.04,0.07,0.03,0.07,2017
677,678,Adrián Diéguez,ESP,DF,Alavés,La Liga,21,1996,6,6,435,4.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,2017
678,679,Dennis Diekmeier,GER,DF,Hamburger SV,Bundesliga,27,1989,22,22,"1,868",20.8,0,3,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,2.2,2.7,0.02,0.11,0.13,0.02,0.13,2017
679,680,Eric Dier,ENG,MF,Tottenham,Premier League,23,1994,34,32,"2,824",31.4,0,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,2.0,2.0,1.4,3.4,0.06,0.05,0.11,0.06,0.11,2017
680,681,Lucas Digne,FRA,DF,Barcelona,La Liga,24,1993,12,8,704,7.8,0,2,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,0.5,0.5,1.5,1.9,0.06,0.19,0.25,0.06,0.25,2017
681,682,Landry Dimata,BEL,FW,Wolfsburg,Bundesliga,19,1997,21,9,902,10.0,0,1,0,0,0,1,1,0.00,0.10,0.10,0.00,0.10,1.2,1.2,0.4,1.6,0.12,0.04,0.16,0.12,0.16,2017
682,683,Tristan Dingomé,CMR,MF,Troyes,Ligue 1,26,1991,14,14,"1,192",13.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.5,0.02,0.10,0.11,0.02,0.11,2017
683,684,Ismaël Diomandé,CIV,DF,Caen,Ligue 1,24,1992,11,8,712,7.9,0,1,0,0,0,1,1,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.2,0.3,0.01,0.03,0.04,0.01,0.04,2017
684,685,Lois Diony,FRA,FW,Saint-Étienne,Ligue 1,24,1992,16,11,931,10.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.4,2.3,0.18,0.04,0.22,0.18,0.22,2017
685,686,Issa Diop,FRA,DF,Toulouse,Ligue 1,20,1997,34,34,"3,060",34.0,3,0,3,0,0,8,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.4,1.7,0.04,0.01,0.05,0.04,0.05,2017
686,687,Papakouli Diop,SEN,MF,Espanyol,La Liga,31,1986,5,3,264,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.01,0.03,2017
687,688,Papakouli Diop,SEN,MF,Eibar,La Liga,31,1986,15,12,940,10.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.06,0.02,0.08,0.06,0.08,2017
688,689,Assane Dioussé,SEN,MF,Saint-Étienne,Ligue 1,19,1997,25,17,"1,344",14.9,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.5,1.3,0.05,0.03,0.09,0.05,0.09,2017
689,690,Djené,TOG,DF,Getafe,La Liga,25,1991,36,36,"3,239",36.0,1,0,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,0.7,0.7,0.2,0.8,0.02,0.00,0.02,0.02,0.02,2017
690,691,Koffi Djidji,CIV,DF,Nantes,Ligue 1,24,1992,29,27,"2,416",26.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.01,0.03,0.04,0.01,0.04,2017
691,692,Alexander Djiku,GHA,DF,Caen,Ligue 1,22,1994,28,28,"2,520",28.0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,1.5,0.05,0.00,0.05,0.05,0.05,2017
692,693,Papy Djilobodji,SEN,DF,Dijon,Ligue 1,28,1988,30,30,"2,699",30.0,0,1,0,0,0,4,1,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.2,1.1,0.03,0.01,0.04,0.03,0.04,2017
693,694,Berat Djimsiti,ALB,DF,Benevento,Serie A,24,1993,30,30,"2,700",30.0,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,1.3,1.3,0.5,1.9,0.04,0.02,0.06,0.04,0.06,2017
694,695,Marko Dmitrović,SRB,GK,Eibar,La Liga,25,1992,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,2017
695,696,Keagan Dolly,RSA,FW,Montpellier,Ligue 1,24,1993,17,9,881,9.8,1,2,1,0,0,1,0,0.10,0.20,0.31,0.10,0.31,1.2,1.2,1.4,2.6,0.12,0.14,0.27,0.12,0.27,2017
696,697,Jaume Doménech,ESP,GK,Valencia,La Liga,26,1990,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
697,698,Jean-Luc Dompé,FRA,MF,Amiens,Ligue 1,21,1995,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,2017
698,699,Giulio Donati,ITA,DF,Mainz 05,Bundesliga,27,1990,29,26,"2,284",25.4,0,3,0,0,0,3,2,0.00,0.12,0.12,0.00,0.12,0.4,0.4,1.7,2.1,0.01,0.07,0.08,0.01,0.08,2017
699,700,Ji Dong-won,KOR,FW,Augsburg,Bundesliga,26,1991,3,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
700,701,Anastasios Donis,GRE,FW,Stuttgart,Bundesliga,20,1996,18,11,949,10.5,2,2,2,0,0,1,0,0.19,0.19,0.38,0.19,0.38,4.5,4.5,2.1,6.5,0.43,0.19,0.62,0.43,0.62,2017
701,702,Gianluigi Donnarumma,ITA,GK,Milan,Serie A,18,1999,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
702,703,Godfred Donsah,GHA,MF,Bologna,Serie A,21,1996,28,20,"1,794",19.9,2,1,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15,1.2,1.2,1.2,2.4,0.06,0.06,0.12,0.06,0.12,2017
703,704,Dória,BRA,DF,Marseille,Ligue 1,22,1994,3,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
704,705,Niklas Dorsch,GER,MF,Bayern Munich,Bundesliga,19,1998,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.7,0.7,0.0,0.8,0.73,0.03,0.76,0.73,0.76,2017
705,706,Gabriel Dos Santos,BRA,FW,Troyes,Ligue 1,19,1997,1,0,84,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
706,707,Mauro dos Santos,ARG,DF,Leganés,La Liga,28,1989,14,10,983,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,2017
707,708,Mathieu Dossevi,TOG,FW,Metz,Ligue 1,29,1988,30,30,"2,509",27.9,1,11,1,0,0,2,0,0.04,0.39,0.43,0.04,0.43,2.1,2.1,9.2,11.3,0.08,0.33,0.41,0.08,0.41,2017
708,709,Abdoulaye Doucouré,MLI,MF,Watford,Premier League,24,1993,37,37,"3,324",36.9,7,3,7,0,0,10,0,0.19,0.08,0.27,0.19,0.27,3.6,3.6,2.6,6.2,0.10,0.07,0.17,0.10,0.17,2017
709,710,Cheick Doukouré,CIV,MF,Levante,La Liga,24,1992,19,12,"1,022",11.4,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,0.3,1.5,0.11,0.02,0.13,0.11,0.13,2017
710,711,Mohamed Dräger,TUN,MF,Freiburg,Bundesliga,21,1996,2,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
711,712,Aleksandar Dragović,AUT,DF,Leicester City,Premier League,26,1991,11,7,769,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,2017
712,713,Aleksandar Dragović,AUT,DF,Leverkusen,Bundesliga,26,1991,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
713,714,Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,19,1997,3,1,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
714,715,Boukary Dramé,SEN,DF,SPAL,Serie A,32,1985,5,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
715,716,Julian Draxler,GER,MF,Paris S-G,Ligue 1,23,1993,30,19,"1,704",18.9,4,5,4,0,0,1,0,0.21,0.26,0.48,0.21,0.48,3.2,3.2,4.4,7.6,0.17,0.23,0.40,0.17,0.40,2017
716,717,Danny Drinkwater,ENG,MF,Chelsea,Premier League,27,1990,12,5,527,5.9,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.2,0.2,0.3,0.4,0.03,0.04,0.07,0.03,0.07,2017
717,718,Josip Drmić,SUI,FW,M'Gladbach,Bundesliga,24,1992,13,4,467,5.2,4,1,4,0,0,1,0,0.77,0.19,0.96,0.77,0.96,3.2,3.2,0.2,3.4,0.62,0.04,0.65,0.62,0.65,2017
718,719,Rick van Drongelen,NED,DF,Hamburger SV,Bundesliga,18,1998,18,16,"1,440",16.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.03,0.00,0.03,0.03,0.03,2017
719,720,Óscar Duarte,CRC,DF,Espanyol,La Liga,28,1989,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.09,0.00,0.09,0.09,0.09,2017
720,721,Rubén Duarte,ESP,DF,Alavés,La Liga,21,1995,24,24,"2,138",23.8,0,2,0,0,0,9,1,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.9,2.4,0.02,0.08,0.10,0.02,0.10,2017
721,722,Leo Dubois,FRA,DF,Nantes,Ligue 1,22,1994,34,34,"3,021",33.6,3,4,3,0,0,5,0,0.09,0.12,0.21,0.09,0.21,2.2,2.2,5.6,7.8,0.07,0.17,0.23,0.07,0.23,2017
722,723,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,28,1989,12,12,"1,080",12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
723,724,Ondrej Duda,SVK,MF,Hertha BSC,Bundesliga,22,1994,17,9,744,8.3,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.3,1.7,0.16,0.04,0.20,0.16,0.20,2017
724,725,Shane Duffy,IRL,DF,Brighton,Premier League,25,1992,37,37,"3,292",36.6,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,1.8,1.8,0.8,2.7,0.05,0.02,0.07,0.05,0.07,2017
725,726,Paul Dummett,WAL,DF,Newcastle Utd,Premier League,25,1991,20,19,"1,602",17.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.01,0.03,0.05,0.01,0.05,2017
726,727,Alfred Duncan,GHA,MF,Sassuolo,Serie A,24,1993,26,23,"1,947",21.6,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,2.4,2.4,3.0,5.3,0.11,0.14,0.25,0.11,0.25,2017
727,728,Lewis Dunk,ENG,DF,Brighton,Premier League,25,1991,38,38,"3,420",38.0,1,1,1,0,0,7,0,0.03,0.03,0.05,0.03,0.05,2.8,2.8,0.4,3.2,0.07,0.01,0.08,0.07,0.08,2017
728,729,Maxime Dupé,FRA,GK,Nantes,Ligue 1,24,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
729,730,Filip Đuričić,SRB,FW,Sampdoria,Serie A,25,1992,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.60,0.60,0.00,0.60,2017
730,731,Filip Đuričić,SRB,FW,Benevento,Serie A,25,1992,15,13,971,10.8,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,1.6,2.3,0.06,0.15,0.21,0.06,0.21,2017
731,732,Jimmy Durmaz,SWE,MF,Toulouse,Ligue 1,28,1989,20,12,"1,028",11.4,3,3,0,3,4,5,0,0.26,0.26,0.53,0.00,0.26,3.4,0.3,2.9,3.2,0.29,0.26,0.55,0.03,0.28,2017
732,733,Riza Durmisi,DEN,DF,Betis,La Liga,23,1994,24,23,"2,080",23.1,2,3,2,0,0,4,0,0.09,0.13,0.22,0.09,0.22,1.4,1.4,2.6,4.0,0.06,0.11,0.17,0.06,0.17,2017
733,734,Hugo Duro,ESP,FW,Getafe,La Liga,17,1999,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,2017
734,735,Noë Dussenne,BEL,DF,Crotone,Serie A,25,1992,1,0,84,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,2017
735,736,Paulo Dybala,ARG,MF,Juventus,Serie A,23,1993,33,26,"2,353",26.1,22,3,19,3,5,0,0,0.84,0.11,0.96,0.73,0.84,12.5,8.8,4.6,13.4,0.48,0.18,0.65,0.34,0.51,2017
736,737,Nathan Dyer,ENG,MF,Swansea City,Premier League,29,1987,24,16,"1,307",14.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.6,0.05,0.05,0.11,0.05,0.11,2017
737,738,Edin Džeko,BIH,FW,Roma,Serie A,31,1986,36,33,"3,018",33.5,16,3,16,0,0,6,0,0.48,0.09,0.57,0.48,0.57,20.2,20.2,4.2,24.4,0.60,0.13,0.73,0.60,0.73,2017
738,739,Blerim Džemaili,SUI,MF,Bologna,Serie A,31,1986,15,14,"1,193",13.3,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.5,1.4,0.07,0.04,0.11,0.07,0.11,2017
739,740,Félix Eboa Eboa,CMR,DF,Guingamp,Ligue 1,20,1997,23,16,"1,524",16.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.3,1.0,0.04,0.02,0.06,0.04,0.06,2017
740,741,Éder,ITA,FW,Inter,Serie A,30,1986,29,4,800,8.9,3,0,3,0,0,4,0,0.34,0.00,0.34,0.34,0.34,3.1,3.1,1.5,4.6,0.35,0.17,0.52,0.35,0.52,2017
741,742,Simone Edera,ITA,FW,Torino,Serie A,20,1997,14,2,327,3.6,1,1,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,0.5,0.5,0.2,0.7,0.15,0.05,0.20,0.15,0.20,2017
