,Player,From,To,Price,Price_,Price_m,Year
63,Cheikhou Kouyaté,West Ham,Crystal Palace,10.6,10.6,10.6,2017
64,Yoshinori Muto,Mainz 05,Newcastle United,9.63,9.63,9.63,2017
66,Alfie Mawson,Swansea,Fulham,15.1,15.1,15.1,2017
67,Lucas Digne,Barcelona,Everton,22,22.0,22.0,2017
68,Philippe Sandler,PEC Zwolle,Manchester City,2.9,2.9,2.9,2017
69,Aleksandar Mitrovic,Newcastle,Fulham,18.1,18.1,18.1,2017
70,Fabian Schar,Deportivo La Coruna,Newcastle,3.3,3.3,3.3,2017
74,Alireza Jahanbakhsh,AZ Alkmaar,Brighton,17.1,17.1,17.1,2017
75,Joao Moutinho,AS Monaco,Wolverhampton,5.04,5.04,5.04,2017
76,Richarlison,Watford,Everton,40.5,40.5,40.5,2017
77,Diego Rico,Leganes,Bournemouth,13.5,13.5,13.5,2017
81,Danny Ward,Liverpool,Leicester City,12.6,12.6,12.6,2017
82,Alisson,AS Roma,Liverpool,75,75.0,75.0,2017
85,Felipe Anderson,Lazio,West Ham United,34.2,34.2,34.2,2017
86,Jorginho,Napoli,Chelsea,51.3,51.3,51.3,2017
87,Fabian Balbuena,Corinthians,West Ham United,3.6,3.6,3.6,2017
88,Jannik Vestergaard,B. Monchengladbach,Southampton,20,20.0,20.0,2017
90,Xherdan Shaqiri,Stoke City,Liverpool,13.23,13.23,13.23,2017
92,Jean Michael Seri,Nice,Fulham,17,17.0,17.0,2017
93,Maxime Le Marchand,Nice,Fulham,17,17.0,17.0,2017
94,Matteo Guendouzi,Lorient,Arsenal,9,9.0,9.0,2017
96,Lucas Torreira,Sampdoria,Arsenal,27,27.0,27.0,2017
97,Angus Gunn,Manchester City,Southampton,10.17,10.17,10.17,2017
98,Riyad Mahrez,Leicester City,Manchester City,68,68.0,68.0,2017
100,Bernardo,RB Leipzig,Brighton,9,9.0,9.0,2017
105,Adam Mesina,Bologna,Watford,4.5,4.5,4.5,2017
